"division","station_name","station_names","latitude","longitude","lines","comment"
광주,공항,{공항},35.144029227828455,126.81163578391195,{1호선},
광주,녹동,{녹동},35.12470349491909,126.76958468643564,{1호선},
광주,농성,"{농성,한국건강관리협회}",35.15326869851721,126.88377113751523,{1호선},
광주,도산,{도산},35.13171362448358,126.78798676858302,{1호선},
광주,상무,{상무},35.146557586715026,126.84863946307836,{1호선},
광주,소태,{소태},35.123128005818515,126.93247210463042,{1호선},
광주,쌍촌,{쌍촌},35.1516000378452,126.86937484472776,{1호선},
광주,운천,{운천},35.150470371315755,126.85869852067796,{1호선},
광주,평동,{평동},35.12470349491909,126.76958468643564,{1호선},
광주,화정,{화정},35.1519546419209,126.87660656569405,{1호선},
광주,학동·증심사입구,{학동·증심사입구},35.13269366039283,126.92841826050315,{1호선},
광주,남광주,{남광주},35.13928604679114,126.92297539566472,{1호선},
광주,돌고개,{돌고개},35.15160235343845,126.89492369547473,{1호선},
광주,문화전당,"{문화전당,구 도청}",35.14643193180097,126.92001942670964,{1호선},
광주,송정공원,{송정공원},35.14350475846104,126.79935765338341,{1호선},
광주,양동시장,{양동시장},35.15430277514032,126.90129118701682,{1호선},
광주,광주송정역,{광주송정역},35.137434472736764,126.79157097528963,{1호선},
광주,김대중컨벤션센터,{김대중컨벤션센터},35.143224736286925,126.84153482907018,{1호선},
광주,금남로4가,{금남로4가},35.13928604679114,126.92297539566472,{1호선},
광주,금남로5가,{금남로5가},35.15420314392916,126.90932496774731,{1호선},
대구,각산,{각산},35.86799440106771,128.72424172030216,{1호선},
대구,감삼,{감삼},35.85430901539491,128.548124584983,{2호선},
대구,강창,{강창},35.8530815302455,128.47852956757,{2호선},
대구,경산,{경산},35.8362116642388,128.752763532,{대경선},
대구,고산,{고산},35.8429442127885,128.693244868779,{2호선},
대구,공단,{공단},35.8919827045671,128.553616577774,{3호선},
대구,교대,{교대},35.8506517193906,128.590580870154,{1호선},
대구,구미,{구미},36.12841770895862,128.33057436954525,{대경선},
대구,구암,{구암},35.9257457718174,128.550345968157,{3호선},
대구,남산,"{남산,계명네거리}",35.8566969364077,128.583462127899,{3호선},
대구,내당,{내당},35.8601228229147,128.564640260301,{2호선},
대구,다사,{다사},35.8648265376596,128.458390514465,{2호선},
대구,담티,{담티},35.8547807171623,128.653975174296,{2호선},
대구,대곡,{대곡},35.8095726496598,128.512766290689,{1호선},
대구,대명,{대명},35.8393253088268,128.565944864274,{1호선},
대구,대실,{대실},35.8576058595846,128.465249990912,{2호선},
대구,동천,{동천},35.9377101876855,128.556683022262,{3호선},
대구,동촌,{동촌},35.8860685418711,128.650275999718,{1호선},
대구,두류,{두류},35.8572148462546,128.555687477795,{2호선},
대구,만촌,{만촌},35.8588579996533,128.644747980508,{2호선},
대구,만평,{만평},35.88983602273649,128.56106304973693,{3호선},
대구,매천,{매천},35.9126784247052,128.543413422111,{3호선},
대구,명덕,{명덕},35.857826850760546,128.59110945231205,"{1호선,3호선}",
대구,문양,{문양},35.8641579148789,128.437002637504,{2호선},
대구,방촌,{방촌},35.879640495861686,128.67017529155623,{1호선},
대구,범물,{범물},35.820839170227,128.640112691676,{3호선},
대구,범어,{범어},35.859019444441,128.626804891905,{2호선},
대구,부호,{부호},35.9002058183569,128.803132220432,{1호선},
대구,북삼,{북삼},36.056039880794394,128.34531901972233,{대경선},
대구,사곡,{사곡},36.056039880794394,128.34531901972233,{대경선},
대구,사월,{사월},35.83703160646826,128.71530783739777,{2호선},
대구,상인,{상인},35.8189266589744,128.537763550346,{1호선},
대구,송현,{송현},35.8310389735877,128.551723656305,{1호선},
대구,신기,{신기},35.866697748321876,128.7018717008197,{1호선},
대구,신천,{신천},35.8746867238902,128.617860126635,{1호선},
대구,안심,{안심},35.8712130165849,128.733769742803,{1호선},
대구,연호,{연호},35.8465875965262,128.67168212651,{2호선},
대구,왜관,{왜관},35.99191782088785,128.40047723262657,{대경선},
대구,용계,{용계},35.8761013615665,128.682019041156,{1호선},
대구,용산,{용산},35.8490710634655,128.528808727588,{2호선},
대구,용지,{용지},35.8182678027764,128.646534534337,{3호선},
대구,원대,{원대},35.883744587012295,128.5814259287805,{3호선},
대구,월배,{월배},35.8138797140673,128.523079769978,{1호선},
대구,월촌,{월촌},35.8237012191661,128.545472867668,{1호선},
대구,율하,{율하},35.8698017965623,128.692713541869,{1호선},
대구,이곡,{이곡},35.85059490342399,128.5157955477842,{2호선},
대구,임당,{임당},35.83412938415609,128.74084813804066,{2호선},
대구,정평,{정평},35.8340447735875,128.728671269463,{2호선},
대구,죽전,{죽전},37.3243773830569,127.107505020642,{2호선},
대구,지산,{지산},35.825153218139,128.631951304556,{3호선},
대구,진천,{진천},35.8138797140673,128.523079769978,{1호선},
대구,태전,{태전},35.9257457718174,128.550345968157,{3호선},
대구,팔거,{팔거},35.9440507618416,128.558336690689,{3호선},
대구,팔달,{팔달},35.8978386982277,128.546749099511,{3호선},
대구,하양,{하양},35.9094350210376,128.817528503806,{1호선},
대구,학정,{학정},35.9515586052486,128.559202329079,{3호선},
대구,해안,{해안},35.883546382084,128.659618182185,{1호선},
대구,화원,{화원},35.8095726496598,128.512766290689,{1호선},
대구,황금,{황금},35.8390783843098,128.623918523675,{3호선},
대구,계명대,"{계명대,신당}",35.85152958119339,128.49188101542035,{2호선},
대구,대구역,{대구역},35.87632871633905,128.59704770331416,"{1호선,대경선}",
대구,대봉교,{대봉교},35.855001346752566,128.60637516764342,{3호선},
대구,동구청,{동구청},35.8840411124294,128.631936380127,{1호선},
대구,반고개,{반고개},35.8622521621908,128.572719232126,{2호선},
대구,반야월,{반야월},35.86596683682594,128.71360316643197,{1호선},
대구,반월당,{반월당},35.865470884061835,128.5935849249732,{1호선},
대구,북구청,{북구청},35.883744587012295,128.5814259287805,{3호선},
대구,수성못,{수성못},35.8313560544497,128.623216677973,{3호선},
대구,아양교,{아양교},35.8872016497293,128.639921198411,{1호선},
대구,안지랑,{안지랑},35.8392307420216,128.573734314089,{1호선},
대구,영남대,{영남대},35.8361745040303,128.75277820742565,{2호선},
대구,중앙로,{중앙로},35.87085454444516,128.59397506943253,{1호선},
대구,현충로,{현충로},35.8409494737259,128.581471198973,{1호선},
대구,건들바위,{건들바위},35.8553896143222,128.599699303506,{3호선},
대구,경대병원,{경대병원},35.863145404232455,128.6029028791839,{2호선},
대구,달성공원,{달성공원},35.8756894052121,128.582099523544,{3호선},
대구,대구은행,{대구은행},35.8597628015782,128.61411950785075,{2호선},
대구,동대구역,{동대구역},35.87755434756526,128.62791465030097,"{1호선,대경선}",
대구,매천시장,{매천시장},35.9043687510623,128.545741973708,{3호선},
대구,서대구역,{서대구역},35.8814910528299,128.54001313659,{대경선},
대구,서문시장,{서문시장},35.8696678378541,128.582245500572,{3호선},
대구,설화명곡,{설화명곡},35.79871751927962,128.48936186250194,{1호선},
대구,수성구청,{수성구청},35.8588057624788,128.635638667651,{2호선},
대구,수성시장,{수성시장},35.8543238441176,128.616038217575,{3호선},
대구,영대병원,{영대병원},35.8441641859564,128.588073922024,{1호선},
대구,청라언덕,{청라언덕},35.864197913328,128.582380299872,"{2호선,3호선}",
대구,칠곡운암,{칠곡운암},35.9314624364377,128.554539499622,{3호선},
대구,칠성시장,{칠성시장},35.8761010648655,128.605133646666,{1호선},
대구,팔달시장,"{팔달시장,팔달신시장}",35.8888415481729,128.567880684049,{3호선},
대구,서부정류장,{서부정류장},35.8371825987976,128.557190858302,{1호선},
대구,어린이세상,{어린이세상},35.84517079454568,128.62446775125383,{3호선},
대구,성서산업단지,{성서산업단지},35.8517148505664,128.507000383565,{2호선},
대구,수성알파시티,"{수성알파시티,삼성라이온즈파크,대공원}",35.8429442127885,128.693244868779,{2호선},
대구,칠곡경대병원,{칠곡경대병원},35.9583910233172,128.559895264986,{3호선},
대구,대구한의대병원,{대구한의대병원},35.8716771563369,128.750970436245,{1호선},
대구,수성구민운동장,{수성구민운동장},35.8524169408054,128.625129180117,{3호선},
대전,갈마,{갈마},36.3575809907703,127.372796710623,{1호선},
대전,갑천,{갑천},36.3547487461809,127.354690249086,{1호선},
대전,구암,{구암},36.356695510518,127.330731986244,{1호선},
대전,노은,{노은},36.3741446787189,127.317883531845,{1호선},
대전,대동,"{대동,우송대}",36.3295857807756,127.442837712837,{1호선},
대전,대전,{대전},36.331529158829255,127.43287717700683,{1호선},
대전,반석,"{반석,침신대}",36.392180531687046,127.31455508683969,{1호선},
대전,시청,{시청},36.3515240038326,127.386751407456,{1호선},
대전,신흥,{신흥},36.3196578116318,127.448799412933,{1호선},
대전,오룡,{오룡},36.3286893013728,127.40492144995,{1호선},
대전,용문,{용문},36.33816667133553,127.39341085383948,{1호선},
대전,월평,"{월평,한국과학기술원,카이스트}",36.3582587338705,127.364599812571,{1호선},
대전,지족,"{지족,침신대}",36.3841073391355,127.319497778302,{1호선},
대전,탄방,{탄방},36.3455472425069,127.384569666381,{1호선},
대전,판암,"{판암,대전대}",36.3169610007362,127.458427352399,{1호선},
대전,중구청,{중구청},36.3248034278274,127.419552786885,{1호선},
대전,중앙로,{중앙로},36.32866530912132,127.4258281669503,{1호선},
대전,현충원,"{현충원,한밭대}",36.3590845904517,127.3217976064,{1호선},
대전,유성온천,"{유성온천,충남대·목원대}",36.3537203343187,127.341445807064,{1호선},
대전,정부청사,{정부청사},37.4265047272927,126.989868044926,{1호선},
대전,서대전네거리,{서대전네거리},36.32242246757099,127.41257645927034,{1호선},
대전,월드컵경기장,"{월드컵경기장,노은도매시장}",36.366863297514,127.317844996337,{1호선},
부산,가야,{가야},35.1559353192489,129.043313481032,{2호선},
부산,감전,{감전},35.1553461063375,128.99147643385,{2호선},
부산,개금,{개금},35.1532421422541,129.020568202069,{2호선},
부산,거제,{거제},35.18848999628461,129.0740928144452,"{3호선,동해선}",
부산,고촌,{고촌},35.2360135557695,129.160475584356,{4호선},
부산,공항,{공항},35.1719085341638,128.948563729722,{부산김해경전철},
부산,광안,{광안},35.157858583447,129.113145418291,{2호선},
부산,괴정,{괴정},35.0999358214704,128.992487217814,{1호선},
부산,교대,{교대},35.19578446925463,129.07999678024,"{1호선,동해선}",
부산,구남,{구남},35.1966903928098,128.994852323186,{2호선},
부산,구명,{구명},35.2028092156488,128.999556181232,{2호선},
부산,구서,{구서},35.2472824601624,129.091288325323,{1호선},
부산,구포,{구포},35.2066183302771,128.996342494032,{3호선},
부산,금곡,{금곡},35.2672407272281,129.016807358278,{2호선},
부산,금사,{금사},35.2157859199559,129.1151206096,{4호선},
부산,기장,{기장},35.2445519356355,129.218862392668,{동해선},
부산,낙민,{낙민},35.1971960342806,129.09132502632,{4호선},
부산,남산,"{남산,남산동}",35.265202901569,129.092416924607,{1호선},
부산,남창,{남창},35.41962657118878,129.28221847631076,{동해선},
부산,남천,{남천},35.1420150673392,129.107838322896,{2호선},
